MONUMENT_RECORD_NO,LATITUDE,LONGITUDE
979M,51.452398,-2.5776148
97M,51.458506,-2.5931791
980M,51.453651,-2.5913748
981M,51.44905,-2.5853865
982M,51.449029,-2.5859187
983M,51.446124,-2.5914933
984M,51.447006,-2.5948144
985M,51.451776,-2.5904151
297M,51.451639,-2.5873912
29M,51.451236,-2.5906384
1050M,51.451016,-2.6020619
1051M,51.457227,-2.5827853
1052M,51.455133,-2.6057861
1056M,51.454414,-2.5932988
1057M,51.457698,-2.5928808
1058M,51.452012,-2.6006647
1059M,51.454795,-2.6031623
1060M,51.456756,-2.5995036
1061M,51.455471,-2.5851377
1062M,51.451558,-2.6032204
997M,51.450398,-2.583792
998M,51.454494,-2.5900184
999M,51.462339,-2.6032186
99M,51.458451,-2.5933799
359M,51.454636,-2.5939493
35M,51.455574,-2.5898596
360M,51.454645,-2.5939062
1610M,51.461777,-2.5899684
1612M,51.462139,-2.5894981
1613M,51.462674,-2.5905126
1503M,51.449666,-2.5970507
1506M,51.450116,-2.5969558
1507M,51.457616,-2.5984066
1508M,51.457679,-2.598465
1321M,51.457463,-2.5806581
1509M,51.458666,-2.5792053
1510M,51.453768,-2.6000545
1511M,51.453814,-2.5999544
1531M,51.457343,-2.5776341
1532M,51.446344,-2.5995543
1533M,51.454451,-2.5984228
224M,51.460868,-2.5990105
225M,51.453289,-2.5900317
735M,51.456989,-2.5872872
5112M,51.461454,-2.5698556
1367M,51.458755,-2.5793648
1368M,51.45946,-2.5805252
1484M,51.460563,-2.5918384
1485M,51.46052,-2.5914348
515M,51.456851,-2.5985549
516M,51.455348,-2.5863306
604M,51.448006,-2.587359
605M,51.452337,-2.6038351
606M,51.457327,-2.5933366
831M,51.458187,-2.5904835
738M,51.458043,-2.5832707
316M,51.45343,-2.5924225
318M,51.451709,-2.5929615
319M,51.454123,-2.59223
31M,51.45253,-2.5925692
321M,51.454176,-2.5923027
322M,51.453765,-2.591808
323M,51.453756,-2.5918655
947M,51.456255,-2.5919266
94M,51.458348,-2.5924142
950M,51.450249,-2.6024836
952M,51.449187,-2.5992318
953M,51.455804,-2.5905822
954M,51.455501,-2.5935431
956M,51.454974,-2.5945869
958M,51.452568,-2.5938217
1640M,51.453249,-2.5960469
1641M,51.452081,-2.5958589
1642M,51.459891,-2.6053454
1643M,51.451969,-2.5967497
1644M,51.453301,-2.5912119
1646M,51.451872,-2.5874374
1322M,51.457916,-2.5799874
455M,51.455444,-2.5906064
456M,51.456116,-2.5891758
458M,51.45577,-2.59015
562M,51.454633,-2.5927835
563M,51.454686,-2.592813
565M,51.454802,-2.5929728
691M,51.448795,-2.5914991
692M,51.458533,-2.5895236
346M,51.455132,-2.5935384
347M,51.45515,-2.5935818
440M,51.455982,-2.5891309
1323M,51.457963,-2.5794123
441M,51.456111,-2.5903271
443M,51.45272,-2.5904273
444M,51.452835,-2.5907886
445M,51.45148,-2.588598
447M,51.452151,-2.589283
1496M,51.462053,-2.5869348
1497M,51.462089,-2.5869496
1498M,51.46147,-2.5884819
1499M,51.45385,-2.6103745
1500M,51.449596,-2.5877823
1502M,51.455434,-2.5817694
5114M,51.460132,-2.5698535
332M,51.454019,-2.5949487
333M,51.453545,-2.5944101
1448M,51.45659,-2.5789343
1454M,51.46312,-2.5893668
1449M,51.463207,-2.5900301
1451M,51.462453,-2.5896461
358M,51.454636,-2.5939781
1201M,51.448325,-2.6180427
5115M,51.459074,-2.5692358
1144M,51.457576,-2.5974994
1486M,51.460556,-2.5913777
1487M,51.460362,-2.5924547
1488M,51.460398,-2.592412
1489M,51.460852,-2.5914679
1490M,51.460491,-2.591895
1491M,51.460502,-2.5914921
1494M,51.461971,-2.5871928
55M,51.45392,-2.596804
560M,51.455677,-2.5943658
1202M,51.457245,-2.5828863
30M,51.45128,-2.5906534
310M,51.453517,-2.5947839
311M,51.453107,-2.5939726
314M,51.453283,-2.5929099
315M,51.452223,-2.5926803
1652M,51.460704,-2.5923584
1653M,51.460731,-2.5924019
1654M,51.460543,-2.5921548
1160M,51.450355,-2.5869142
1655M,51.460579,-2.5921121
1656M,51.460634,-2.592012
868M,51.455916,-2.5932175
869M,51.453004,-2.6019154
870M,51.452295,-2.5981355
871M,51.453422,-2.5974883
623M,51.455697,-2.5974028
1648M,51.454706,-2.5924678
1649M,51.455419,-2.5848491
1650M,51.45085,-2.6201203
1369M,51.459828,-2.5805011
1370M,51.460012,-2.5797981
1371M,51.451207,-2.6032733
369M,51.456031,-2.5919381
1372M,51.455214,-2.5790177
1373M,51.455823,-2.58851
1375M,51.457697,-2.587872
1376M,51.459211,-2.5853006
1377M,51.445763,-2.5881072
239M,51.457185,-2.5877215
252M,51.454979,-2.5972208
254M,51.460636,-2.5880825
256M,51.457982,-2.5902073
924M,51.44603,-2.5994063
258M,51.458271,-2.5899232
1444M,51.451527,-2.5898794
1445M,51.450448,-2.5899087
504M,51.458441,-2.602318
505M,51.451905,-2.6021456
331M,51.453823,-2.5945576
1547M,51.45819,-2.5986732
1548M,51.458654,-2.5994853
1549M,51.458708,-2.5995148
1550M,51.458752,-2.599573
1552M,51.45143,-2.5966564
1553M,51.447599,-2.5897137
430M,51.456909,-2.5977353
433M,51.456098,-2.5964438
436M,51.455276,-2.5900717
438M,51.455455,-2.5901748
1158M,51.451957,-2.5849056
1159M,51.452689,-2.585908
1190M,51.456271,-2.5924017
1192M,51.454689,-2.5959073
1193M,51.454737,-2.5933893
1194M,51.449167,-2.6083981
1196M,51.450191,-2.589229
1197M,51.454682,-2.6008005
1199M,51.450688,-2.5992802
1200M,51.45362,-2.6010312
1559M,51.455182,-2.5872784
1560M,51.453841,-2.5964287
5116M,51.456078,-2.5878224
1561M,51.455159,-2.5900846
1562M,51.456636,-2.5878296
1564M,51.460263,-2.5834573
1565M,51.456287,-2.5838096
1566M,51.447065,-2.5904119
1567M,51.459886,-2.5779253
1568M,51.453181,-2.5988667
1397M,51.451455,-2.5970884
367M,51.456126,-2.590903
368M,51.456015,-2.5914773
5410M,51.45678,-2.591372
371M,51.455703,-2.5926534
373M,51.454525,-2.5926814
374M,51.455871,-2.5950304
375M,51.456133,-2.5948755
376M,51.456201,-2.5955672
378M,51.456068,-2.5934785
379M,51.455777,-2.5940649
1156M,51.450145,-2.5838895
1157M,51.451994,-2.5828913
2320M,51.498047,-2.6547008
1363M,51.459191,-2.5784203
1364M,51.458983,-2.5786768
1366M,51.459078,-2.577728
1558M,51.456012,-2.5831584
1388M,51.452785,-2.5829014
1389M,51.458249,-2.5923554
1391M,51.44843,-2.5779965
1393M,51.451823,-2.5846593
922M,51.462903,-2.5895511
923M,51.451362,-2.5869559
5411M,51.457136,-2.5921395
926M,51.449288,-2.5899513
927M,51.449156,-2.5856757
929M,51.456422,-2.5802563
92M,51.454372,-2.5927801
930M,51.455302,-2.595613
624M,51.455247,-2.5974402
625M,51.455311,-2.5973546
626M,51.455428,-2.597313
946M,51.457931,-2.5859607
1614M,51.463827,-2.5899805
62M,51.457936,-2.592193
631M,51.455357,-2.5936132
633M,51.45394,-2.5980707
634M,51.453976,-2.5980856
636M,51.457351,-2.5886016
637M,51.446369,-2.5909785
638M,51.453663,-2.585388
1615M,51.46387,-2.5903409
